"Neighborhood","CUISINE","RESTAURANT","SCORE"
"Lower East Side ","Japanese","ALIN SUSHI",13
"Lower East Side ","Bakery","DELICIOUS BAKERY",13
"Lower East Side ","Caf/Coffee/Tea","JES COFFEE",13
"Lower East Side ","Hamburgers","LUCKY'S FAMOUS BURGERS",13
"Lower East Side ","American","MR PURPLE",13
"Lower East Side ","Japanese","MR TAKA RAMEN",13
"Lower East Side ","Pizza","NEW ROMA PIZZA",13
"Lower East Side ","Vietnamese/Cambodian/Malaysia","PHO GRAND",13
"Lower East Side ","Chinese","YUE LAI BAKERY",13
"Midtown ","Southwestern","TRI TIP GRILL",13
"Midtown Upper East Side ","Indian","AGRA RESTAURANT",13
"Midtown Upper East Side ","Caf/Coffee/Tea","CHATIME",13
"Midtown Upper East Side ","American","COUSINS NYC",13
"Midtown Upper East Side ","Asian","FATTY FISH",13
"Midtown Upper East Side ","Caf/Coffee/Tea","NEW YORK JR LEAGUE",13
"Midtown Upper East Side ","Italian","PARMA RESTAURANT",13
"Midtown Upper East Side ","Bagels/Pretzels","PickABagel",13
"Midtown Upper East Side ","Bakery","WOOPS BAKESHOP",13
"Morningside Heights ","Chicken","BUFFALO WILD WINGS",13
"Morningside Heights ","American","HARLEM SHAKE",13
"Murray Hill ","Indian","ANJAPPAR",13
"Murray Hill ","Hamburgers","BAREBURGER",13
"Murray Hill ","Delicatessen","BONO'S CAFE",13
"Murray Hill ","Mexican","CHOZA TAQUERIA",13
"Murray Hill ","Pizza/Italian","GIUSEPPES PIZZA",13
"Murray Hill ","American","GUY  GALLARD",13
"Murray Hill ","Jewish/Kosher","HUMMUS KITCHEN",13
"Murray Hill ","Thai","JAIYA THAI ORIENTAL RESTAURANT",13
"Murray Hill ","Japanese","NOMADO 33",13
"Murray Hill ","American","SHELLEY'S KITCHEN",13
"Murray Hill ","American","THE HILL",13
"Murray Hill ","American","TOWNHOUSE DINER",13
"Tribeca, Soho ","American","BREAK ROOM",13
"Tribeca, Soho ","American","BROOME STREET BAR",13
"Tribeca, Soho ","Bakery","MAISON KAYSER BAKERY",13
"Tribeca, Soho ","Juice Smoothies Fruit Salads","MANGO MANGO",13
"Tribeca, Soho ","Asian","NAM CAFE",13
"Tribeca, Soho ","Bakery","NICE ONE BAKERY",13
"Tribeca, Soho ","Italian","ORIGINAL PUGLIA RISTORANTE ITALIANO",13
"Tribeca, Soho ","American","POTATO CORNER",13
"Tribeca, Soho ","Mexican","PULQUERIA",13
"Tribeca, Soho ","Caf/Coffee/Tea","SAMBUCA'S CAFE",13
"Tribeca, Soho ","Bakery","SWEETS BAKERY",13
"Tribeca, Soho ","Caf/Coffee/Tea","THE BROOME",13
"Tribeca, Soho ","American","WHITE STREET",13
"Upper East Side","American","CORNER CAFE AND BAKERY",13
"Upper East Side","Chinese","NEW FRESH WOK",13
"Upper East Side ","Pizza","ARTURO'S PIZZA",13
"Upper East Side ","Caf/Coffee/Tea","PETITE SHELL",13
"Upper West Side","Delicatessen","HAMILTON DELI",13
"Upper West Side","American","HOT  CRUSTY",13
"Upper West Side","Chinese/Cuban","LA CARIDAD 78",13
"Upper West Side","Indian","ROTI ROLL / SUITE",13
"Upper West Side","Pizza","SABA'S PIZZA",13
"Upper West Side","American","TOM'S RESTAURANT",13
"Upper West Side ","Chinese/Japanese","EMPIRE COLOMBUS",13
"Upper West Side ","Pizza/Italian","PATSYS PIZZERIA",13
"Upper West Side ","Indian","SAFFRON INDIAN CUISINE",13
"Village NoHo ","Pizza","1 PIZZA 2 BEER",13
"Village NoHo ","Asian","KELLEY  PING",13
"Village NoHo ","American","MOTHER'S RUIN",13
"Village NoHo ","Japanese","OKINII",13
"Village NoHo ","Bakery","ONCE UPON A TART",13
"Village NoHo ","Sandwiches","SUBWAY",13
"Washington Heights","Donuts","DUNKIN' DONUTS",13
"Washington Heights","Mexican","LOLA LOLA RESTAURANT  BAR",13
"Washington Heights","Chinese","NO 1 CHINESE RESTAURANT",13
"Washington Heights","Bakery","SWEET LIFE PASTRY",13
"West Greenwich Village ","American","CORNER BISTRO",13
"West Greenwich Village ","American","CUBBYHOLE",13
"West Greenwich Village ","American","HOUSTON HALL",13
"West Greenwich Village ","American","L'ARTUSI",13
"West Greenwich Village ","American","MARKET TABLE",13
"West Greenwich Village ","Italian","NUMERO 28 PIZZERIA",13
"West Greenwich Village ","Pizza","PIZZETTERIA BRUNETTI",13
"West Midtown ","Turkish","ABA TURKISH RESTAURANT",13
"West Midtown ","Ice Cream Gelato Yogurt Ices","AMORINO",13
"West Midtown ","Turkish","ANTALIA TURKISH CUISINE",13
"West Midtown ","Thai","AURA THAI FUSION",13
"West Midtown ","Pizza","BRAVO PIZZA",13
"West Midtown ","Italian","BRICIOLA",13
"West Midtown ","American","BROADWAY COMEDY CLUB",13
"West Midtown ","Japanese","HANAMI SUSHI",13
"West Midtown ","American","JOHN SULLIVAN'S PUB",13
"West Midtown ","Indian","JOY CURRY  TANDOOR",13
"West Midtown ","Indian","KATI JUNCTION INDIAN GRILL",13
"West Midtown ","Caf/Coffee/Tea","KOFFEECAKE CORNER",13
"West Midtown ","Greek","LEMONY GRILL",13
"West Midtown ","American","LUNCH BOX",13
"West Midtown ","Other","MAPLE",13
"West Midtown ","Hamburgers","MCDONALD'S",13
"West Midtown ","Korean","MUKEUNJI II",13
"West Midtown ","American","PANERA BREAD",13
"West Midtown ","Peruvian","RIKO PERUVIAN CUISINE",13
"West Midtown ","Jewish/Kosher","SCHNITZEL EXPRESS",13
"West Midtown ","Bottled beverages including water sodas juices etc","SOCIAL TERRACE",13
"West Midtown ","Italian","SPINELLI'S PIZZA/GYRO II",13
"West Midtown ","Moroccan","TAGINE",13
"West Midtown ","Russian","UNCLE VANYA",13
"West Midtown ","Delicatessen","ZEYTINZ",13
"Chelsea Greenwich Village ","American","ALTA",12
"Chelsea Greenwich Village ","American","BLACK TAP",12
"Chelsea Greenwich Village ","French","LA BERGAMOTE",12
"Chelsea Greenwich Village ","American","MALIBU DINER",12
"Chelsea Greenwich Village ","Japanese","MOMOYA CHELSEA",12
"Chelsea Greenwich Village ","American","MUSCLE MAKER GRILL",12
"Chelsea Greenwich Village ","Thai","ROYAL SIAM THAI",12
"East Greenwich Village ","Pizza","ELEVEN B",12
"East Greenwich Village ","Mexican","TACOS MORELOS",12
"East Greenwich Village ","Caf/Coffee/Tea","The Roost",12
"East Greenwich Village ","American","THE THIRD MAN",12
"East Greenwich Village ","French","TREE",12
"East Harlem","Sandwiches","SUBWAY",12
"East Harlem ","Bakery","BAKERY ON 3RD CAFE",12
"East Harlem ","Indian","BAWARCHI INDIAN CUISINE",12
"East Harlem ","Mediterranean","CHICKPEA RED MANGO",12
"East Harlem ","Latin Cuban Dominican Puerto Rican South  Central American","EL BARRIO RESTAURANT",12
"East Harlem ","Hamburgers","MCDONALD'S RESTAURANT",12
"East Harlem ","Caf/Coffee/Tea","PERK KAFE",12
"East Harlem ","Sandwiches/Salads/Mixed Buffet","SUBWAY",12
"East Midtown ","Indian","44TH STREET MINAR",12
"East Midtown ","Japanese","AZUSA OF JAPAN",12
"East Midtown ","Pizza","BELLA ROMA PIZZA",12
"East Midtown ","American","CAFE SFA",12
"East Midtown ","Mexican","DOS TOROS",12
"East Midtown ","American","FRESH  CO",12
"East Midtown ","Italian","GENTE",12
"East Midtown ","Thai","HERBS THAI BISTRO",12
"East Midtown ","American","LITTLE BEET",12
"East Midtown ","American","MADISON RESTAURANT",12
"East Midtown ","Japanese","NADASUSHI",12
"East Midtown ","Delicatessen","OLYMPIA CAFE",12
"East Midtown ","Mediterranean","OMAR'S MEDITERRANEAN CUISINE",12
"East Midtown ","American","OVERLOOK",12
"East Midtown ","French","PAPILLON BISTRO  BAR",12
"East Midtown ","Italian","PIETROS",12
"East Midtown ","Chinese","SHIH LEE CHINESE GOODEATS",12
"East Midtown ","Japanese","SOBA TOTTO",12
"East Midtown ","American","THE RIVER CLUB",12
"East Midtown ","Japanese","UDON WEST",12
"East Midtown ","Italian","VA PRESTO",12
"East Midtown ","Steak","WOLFGANG'S STEAKHOUSE BOUTIQUE",12
"East Midtown ","Japanese","YAKINIKU GEN",12
"Financial District ","American","Cafe De Novo",12
"Financial District ","Ice Cream Gelato Yogurt Ices","CARVEL ICE CREAM DAYLIGHT DONUTS KUNG FU TEA",12
"Financial District ","Caf/Coffee/Tea","LA COLOMBE",12
"Financial District ","American","ROUTE 66 AMERICAN BBQ",12
"Financial District, Seaport","American","KETCH BREWHOUSE",12
"Financial District, Seaport","American","RESIDENCE INN WORLD TRADE CENTER",12
"Gramercy ","Caf/Coffee/Tea","ALYSHIA ALEEM COFFEE SHOP",12
"Gramercy ","Italian","FRANK'S TRATTORIA",12
"Gramercy ","Caf/Coffee/Tea","GREGORY'S COFFEE",12
"Gramercy ","Steak","HILLSTONE MANHATTAN",12
"Gramercy ","American","MANGIA FRESCO ROOM BARUCH COLLEGE",12
"Gramercy ","Seafood","SAGAPONACK",12
"Gramercy ","American","SONY CLUB",12
"Greenwich Village ","Seafood","BAIT  HOOK",12
"Greenwich Village ","Indian","BRICKLANE CURRY HOUSE",12
"Greenwich Village ","Spanish","HUERTAS",12
"Greenwich Village ","Italian","L'APICIO",12
"Greenwich Village ","French","LAFAYETTE",12
"Greenwich Village ","American","MAX BRENNER",12
"Greenwich Village ","Hamburgers","MCDONALD'S",12
"Greenwich Village ","Bangladeshi","ROYAL BANGLADESH INDIAN RESTAURANT",12
"Greenwich Village ","American","SUNBURST ESPRESSO BAR",12
"Greenwich Village ","Polish","VESELKA RESTAURANT",12
"Greenwich Village ","Japanese","YUBA",12
"Harlem","Indian","MAHARAJA PALACE",12
"Harlem","Spanish","MAMI RESTAURANT",12
"Harlem","Chinese","NEW GOLDEN EMPIRE CHINESE RESTAURANT",12
"Harlem","Chilean","THE GRANGE BAR  EATERY",12
"Harlem","Spanish","TROPICAL GRILL RESTAURANT",12
"Harlem ","American","BITERS",12
"Harlem ","Chinese","KING GARDEN RESTAURANT",12
"Harlem ","Sandwiches","SUBWAY",12
"Inwood ","Juice Smoothies Fruit Salads","DISFRUTA",12
"Inwood ","Chinese","HANG LEE RESTAURANT",12
"Inwood ","Italian","IL SOLE",12
"Inwood ","American","INWOOD BEER GARDEN  BISTRO",12
"Lower East Side ","Chinese","88 REACH HOUSE CHINESE FOOD",12
"Lower East Side ","Chinese","BITE Of HONG KONG",12
"Lower East Side ","Caf/Coffee/Tea","CAFE HENRIE",12
"Lower East Side ","Spanish","CHARRUA",12
"Lower East Side ","Chinese","HAPPY GARDEN PALACE",12
"Lower East Side ","Fruits/Vegetables","KANG KEE CHINESE RESTAURANT",12
"Lower East Side ","Chinese","NEW HAPPY WOK",12
"Lower East Side ","Japanese","SUSHI HANA",12
"Lower East Side ","Mexican","TIJUANA PICNIC",12
"Lower East Side ","Chinese","WANG'S GREAT WALL",12
"Lower East Side ","Chinese","YUNG SUN SEAFOOD RESTAURANT",12
"Lower East Side ","Chinese","ZING'S AWESOME RICE",12
"Lower Manhattan ","Delicatessen","PICK A BAGEL",12
"Midtown ","Japanese","KUROOBI OF IPPUDO",12
"Midtown Upper East Side ","Italian","BOCCA EAST",12
"Midtown Upper East Side ","Italian","CAFE BUON GUSTO",12
"Midtown Upper East Side ","American","LENOX HILL GRILL/PIZZA",12
"Midtown Upper East Side ","Pizza","ORIGINAL RAY'S PIZZA",12
"Midtown Upper East Side ","Jewish/Kosher","PASTRAMI QUEEN",12
"Midtown Upper East Side ","Mediterranean","SOJOURN",12
"Midtown Upper East Side ","Thai","SPICE",12
"Morningside Heights ","Caribbean","ANGEL OF HARLEM",12
"Morningside Heights ","Indian","CHAI WALI",12
"Morningside Heights ","Barbecue","DINOSAUR BARBQUE",12
"Morningside Heights ","American","FLAT TOP",12
"Morningside Heights ","Barbecue","HARLEM BARBQ",12
"Morningside Heights ","American","ISLAND BURGERS  SHAKES",12
"Morningside Heights ","Japanese","SONO UCHI SUSHI",12
"Morningside Heights ","Hamburgers","THE FAMOUS JIMBO'S HAMBURGER PALACE",12
"Murray Hill ","Chinese","ASIA EXPRESS",12
"Murray Hill ","Chicken","BEST WINGERS",12
"Murray Hill ","American","BETWEEN THE BREAD",12
"Murray Hill ","American","BLUE SMOKE",12
"Murray Hill ","Chinese","CAFE CHINA",12
"Murray Hill ","American","CAFE DELECTICA",12
"Murray Hill ","American","DESMOND'S TAVERN",12
"Murray Hill ","Donuts","DUNKIN' DONUTS BASKIN ROBBINS",12
"Murray Hill ","Caf/Coffee/Tea","FIKA",12
"Murray Hill ","American","FRESHBITES",12
"Murray Hill ","Caf/Coffee/Tea","GREGORY'S COFFEE",12
"Murray Hill ","American","LUCKY'S CAFE  RESTAURANT",12
"Murray Hill ","Italian","MARTA",12
"Murray Hill ","Sandwiches","MAYHEM  STOUT",12
"Murray Hill ","American","MERCURY BAR",12
"Murray Hill ","Italian","NOTARO RESTAURANT",12
"Murray Hill ","American","SILO CAFE",12
"Murray Hill ","Korean","TAKE 31",12
"Tribeca ","Asian","WEI WEST/BEANS  GREENS",12
"Tribeca, Soho ","Asian","AUX EPICES",12
"Tribeca, Soho ","Chinese","BAYARD BO KY RESTAURANT",12
"Tribeca, Soho ","Chinese","CANTON KITCHEN",12
"Tribeca, Soho ","Pizza","GINI'S PIZZA JOINT",12
"Tribeca, Soho ","Chinese","HOP KEE RESTAURANT",12
"Tribeca, Soho ","Chinese","HOY WONG RESTAURANT",12
"Tribeca, Soho ","Italian","LUNELLA RESTAURANT",12
"Tribeca, Soho ","Chinese","MEI LAI WAH COFFEE SHOP",12
"Tribeca, Soho ","Chinese/Japanese","MIKA JAPANESE CUISINE  BAR",12
"Tribeca, Soho ","Italian","PELLEGRINO'S",12
"Tribeca, Soho ","Latin Cuban Dominican Puerto Rican South  Central American","SAZON",12
"Tribeca, Soho ","Chinese","SUN SAI GAI RESTAURANT",12
"Tribeca, Soho ","American","UNION BAR  KITCHEN",12
"Tribeca, Soho ","Delicatessen","UNITED GROCERY  DELI",12
"Upper East Side","American","MERRION SQUARE",12
"Upper East Side","Japanese","NARUTO RAMEN",12
"Upper East Side","Italian","OTTOMANELLI NY GRILL",12
"Upper East Side","American","UPTOWN",12
"Upper East Side ","Bagels/Pretzels","BAGELS  CO",12
"Upper East Side ","French","BISTRO LE STEAK",12
"Upper East Side ","American","GAEL PUB",12
"Upper East Side ","Italian","NINO'S RESTAURANT",12
"Upper East Side ","Italian","OTTOMANELLI CAFE",12
"Upper East Side ","Italian","SAN MATTEO PIZZERIA E CUCINA",12
"Upper East Side ","TexMex","TACO TODAY",12
"Upper East Side ","Ice Cream Gelato Yogurt Ices","TASTI DLITE",12
"Upper East Side ","American","TEXAS ROTISSERIE",12
"Upper East Side ","Thai","UP THAI",12
"Upper East Side ","Jewish/Kosher","VA BENE",12
"Upper West Side","American","AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT",12
"Upper West Side","Bakery","COFFEE BREAK",12
"Upper West Side","Caf/Coffee/Tea","FIKA",12
"Upper West Side","Hamburgers","ISLAND BURGERS  SHAKES",12
"Upper West Side","Pizza/Italian","KITARO",12
"Upper West Side","Chicken","KOKO WINGS",12
"Upper West Side","Korean","MOKJA",12
"Upper West Side","Pizza/Italian","PERFECTO PIZZERIA",12
"Upper West Side","Asian","SAIGON CAFE",12
"Upper West Side","Italian","TRATTORIA PESCE PASTA",12
"Upper West Side","Latin Cuban Dominican Puerto Rican South  Central American","TROPICAL SENSATION",12
"Upper West Side ","Spanish","ANDANADA",12
"Upper West Side ","Japanese","DAN TEMPURA",12
"Upper West Side ","American","LINCOLN CENTER KITCHEN  DAVID GEFFEN HALL",12
"Upper West Side ","Mexican","SANTA FE",12
"Village NoHo ","American","NOHO STAR RESTAURANT",12
"Village NoHo ","Italian","PARM",12
"Village NoHo ","American","PEASANT",12
"Village NoHo ","American","RICE CREAM SHOPPE",12
"Village NoHo ","Vietnamese/Cambodian/Malaysia","SAIGON SHACK",12
"Village NoHo ","Juice Smoothies Fruit Salads","SALUD SOHO",12
"Village NoHo ","Juice Smoothies Fruit Salads","THE BUTHCHER'S DAUGHTER MARKET",12
"Washington Heights","American","HUDSON VIEW RESTAURANT",12
"Washington Heights","Latin Cuban Dominican Puerto Rican South  Central American","VAPOR LOUNGE AND RESTAURANT",12
"Washington Heights","American","WAHI DINER",12
"Washington Heights","Ice Cream Gelato Yogurt Ices","YOSWEETS",12
"Washington Heights ","Spanish","CECI RESTAURANT",12
"Washington Heights ","Latin Cuban Dominican Puerto Rican South  Central American","LA CABANA SALVADORENA RESTAURANT",12
"Washington Heights ","American","RICO CHIMI",12
"Washington Heights ","Tapas","VIVA",12
"West Greenwich Village ","Caf/Coffee/Tea","BLUESTONE LANE COFFEE",12
"West Greenwich Village ","American","CC'S CAFE",12
"West Greenwich Village ","French","DOMINIQUE BISTRO",12
"West Greenwich Village ","Hotdogs","PAPAYA DOG",12
"West Greenwich Village ","Japanese","RAMEN BY MEW",12
"West Greenwich Village ","Caf/Coffee/Tea","REBEL COFFEE",12
"West Greenwich Village ","American","WOGIES",12
"West Midtown ","Delicatessen","876 MARKET DELI",12
"West Midtown ","Other","ARBY'S",12
"West Midtown ","American","AROME CAFE 32",12
"West Midtown ","American","BLACK DOOR",12
"West Midtown ","Irish","BLAGGARD'S PUB",12
"West Midtown ","Irish","BLARNEY ROCK",12
"West Midtown ","American","BRASSERIE 8 1/2",12
"West Midtown ","Delicatessen","CHELSEA DELI  PIZZA",12
"West Midtown ","American","CHICKPEA",12
"West Midtown ","Korean","CHO DANG GOL",12
"West Midtown ","Italian","CIELO AT THE MAYFAIR",12
"West Midtown ","American","COLISEUM BAR RESTAURANT",12
"West Midtown ","Latin Cuban Dominican Puerto Rican South  Central American","EL AZTECA MEXICAN RESTAURANT",12
"West Midtown ","American","EVERGREEN RESTAURANT",12
"West Midtown ","American","FOUNDRY KITCHEN  BAR",12
"West Midtown ","Juice Smoothies Fruit Salads","Gong Cha",12
"West Midtown ","American","GOSSIPS",12
"West Midtown ","Japanese","GYUKAKU",12
"West Midtown ","Hotdogs/Pretzels","ICE BITES  WINTER VILLAGE",12
"West Midtown ","Mexican","IGUANA RESTAURANT",12
"West Midtown ","Other","JAKE'S CAFE EMPLOYEES CAFETERIA AT JAVED CENTER",12
"West Midtown ","Japanese","KUROOBI",12
"West Midtown ","Chinese","MAIN NOODLE HOUSE",12
"West Midtown ","American","MR BIGGS BAR AND GRILL",12
"West Midtown ","Asian","OBAO",12
"West Midtown ","Chinese","OCEAN DRAGON RESTAURANT",12
"West Midtown ","Seafood","OCEANA",12
"West Midtown ","American","OLIVE TREE",12
"West Midtown ","Italian","PASTA LOVERS TRATTORIA",12
"West Midtown ","Caf/Coffee/Tea","PERPETUUM CAFE",12
"West Midtown ","Caf/Coffee/Tea","PICCOLO CAFE",12
"West Midtown ","Spanish","PORTENO",12
"West Midtown ","Sandwiches/Salads/Mixed Buffet","POTBELLY SANDWICH WORKS",12
"West Midtown ","Ethiopian","QUEEN OF SHEBA ETHIOPIAN RESTAURANT",12
"West Midtown ","Caf/Coffee/Tea","REFRESH CAFE",12
"West Midtown ","Other","ROWLANDS BAR AND GRILL / CHEF STREET",12
"West Midtown ","Italian","SCARLATTO",12
"West Midtown ","Mexican","SENOR FROGS",12
"West Midtown ","Italian","SERAFINA AT TIME HOTEL",12
"West Midtown ","Italian","SERGIMMO SALUMERIA",12
"West Midtown ","American","SHERATON NEW YORK HOTEL  TOWERS",12
"West Midtown ","Sandwiches/Salads/Mixed Buffet","SUBWAY / SBARRO",12
"West Midtown ","Japanese","SUSHI SEKI",12
"West Midtown ","Mexican","TAQUERIA DIANA",12
"West Midtown ","Irish","TEMPEST BAR",12
"West Midtown ","American","THE BREAD FACTORY CAFE",12
"West Midtown ","Greek","THE GREEK KITCHEN  CLINTON BAKERY CAFE",12
"West Midtown ","Korean","THE KUNJIP",12
"West Midtown ","American","THEATER ROW DINER",12
"West Midtown ","American","VILLAGE 38",12
"West Midtown ","Other","WALTER'S COTTAGE",12
"West Midtown ","Thai","WONDEE SIAM II",12
"West Midtown ","Mediterranean","WRAPIDO",12
"West Midtown ","Japanese","YURI SUSHI",12
"Chelsea Greenwich Village ","American","BOSTON MARKET",11
"Chelsea Greenwich Village ","Thai","CAFE ASEAN",11
"Chelsea Greenwich Village ","Barbecue","DALLAS BBQ",11
"Chelsea Greenwich Village ","Donuts","DONUT PUB",11
"Chelsea Greenwich Village ","Donuts","DUNKIN' DONUTS/BASKIN ROBBINS",11
"Chelsea Greenwich Village ","American","FLANNERY'S BAR",11
"Chelsea Greenwich Village ","American","G",11
"Chelsea Greenwich Village ","Nuts/Confectionary","JARS BY DANI",11
"Chelsea Greenwich Village ","Thai","PADTHAI NOODLE LOUNGE",11
"Chelsea Greenwich Village ","American","RYEHOUSE",11
"Chelsea Greenwich Village ","American","TBSP",11
"Chelsea Greenwich Village ","American","THE DISH RESTAURANT",11
"East Greenwich Village ","American","EASTERN BLOC",11
"East Greenwich Village ","American","LEN'Z",11
"East Greenwich Village ","Pizza","Little Gio's Pizza",11
"East Harlem ","Spanish","EL CHEVERE CUCHIFRITOS BAKERY",11
"East Harlem ","Middle Eastern","MOUSTACHE",11
"East Harlem ","Juice Smoothies Fruit Salads","MR GOOD JUICE BAR",11
"East Midtown ","Indian","ADYAR ANANDA BHAVAN",11
"East Midtown ","Turkish","ALI BABA'S TERRACE",11
"East Midtown ","Caf/Coffee/Tea","BUSTLER COFFEE",11
"East Midtown ","Indian","DAWAT",11
"East Midtown ","Donuts","DUNKIN' DONUTS",11
"East Midtown ","Asian","FUSHA",11
"East Midtown ","American","JOHNS CAFE  RESTURANT",11
"East Midtown ","Middle Eastern","KARIZMA LOUNGE",11
"East Midtown ","Chinese","KUNG FU LITTLE STEAMED BUNS",11
"East Midtown ","American","MAGGIES PLACE",11
"East Midtown ","Japanese","SHOCHU AND TAPAS AYA",11
"East Midtown ","Japanese","SUNRISE MART",11
"East Midtown ","American","THE NEW YORK PALACE HOTEL 4TH FLOOR KITCHEN",11
"Financial District","American","BURGER KING",11
"Financial District ","Japanese","ISE RESTAURANT",11
"Financial District, Seaport","American","DANTE'S GOURMET FOOD",11
"Financial District, Seaport","American","POTBELLY SANDWICH WORKS",11
"Financial District, Seaport","Thai","THAI SLIDERS  CO LLC",11
"Gramercy ","American","CITY MARKET CAFE",11
"Gramercy ","American","CREDIT SUISSE",11
"Gramercy ","Italian","MOZZARELLI'S",11
"Gramercy ","Sandwiches/Salads/Mixed Buffet","POTBELLY SANDWICH SHOP",11
"Gramercy ","TexMex","TRES CARNES",11
"Greenwich Village ","Ethiopian","AWASH ETHIOPIAN RESTAURANT",11
"Greenwich Village ","American","BEECHER'S HANDMADE CHEESE",11
"Greenwich Village ","Hamburgers","BLUE 9 BURGER",11
"Greenwich Village ","American","CAFE ORLIN",11
"Greenwich Village ","American","GRAMERCY CAFE",11
"Greenwich Village ","Japanese","JEWEL BAKO",11
"Greenwich Village ","Afghan","KHYBER PASS",11
"Greenwich Village ","French","LA MAISON DU CROQUE MONSIEUR",11
"Greenwich Village ","American","SAN MARZANO",11
"Greenwich Village ","Ice Cream Gelato Yogurt Ices","SUNDAES AND CONES",11
"Harlem","American","CAFE FREDERICK HARLEM PARLOR",11
"Harlem","American","CAFE ONE",11
"Harlem","American","HARLEM NIGHTS",11
"Inwood ","Armenian","GARDEN CAFE",11
"Lower East Side ","Mediterranean","CAFE PETISCO",11
"Lower East Side ","Chinese","FOOD KING CHINESE RESTAURANT",11
"Lower East Side ","Chinese","GO BELIEVE BAKERY",11
"Lower East Side ","Chinese","GOLDEN SAND SEAFOOD RESTAURANT",11
"Lower East Side ","Chinese","GOOD TASTE FUZHOU CUISINE",11
"Lower East Side ","Bakery","MANNA HOUSE BAKERY",11
"Lower East Side ","Pizza","PIZZA SHACK",11
"Lower Manhattan ","American","BANK OF NEW YORK EMPL DINING ROOM",11
"Midtown Upper East Side ","Chinese/Japanese","AOYAMA SUSHI",11
"Midtown Upper East Side ","Mexican","CALEXICO",11
"Midtown Upper East Side ","Thai","LUCISOUS THAI",11
"Midtown Upper East Side ","Italian","PRIMOLA RESTAURANT",11
"Midtown Upper East Side ","French","QUATORZE BISTRO",11
"Midtown Upper East Side ","Chinese","SZECHUAN KITCHEN",11
"Morningside Heights ","Caf/Coffee/Tea","ALICE ON SIX",11
"Morningside Heights ","Ice Cream Gelato Yogurt Ices","PIECE OF VELVET",11
"Murray Hill ","Delicatessen","BERGER'S ON THE GO",11
"Murray Hill ","Indian","CURRY IN A HURRY",11
"Murray Hill ","Chinese","GREAT WALL",11
"Murray Hill ","Other","LITTLE RIVER",11
"Murray Hill ","American","ROGER WILLIAMS HOTEL",11
"Murray Hill ","American","SHAKE SHACK",11
"Murray Hill ","American","THE CROOKED KNIFE",11
"Murray Hill ","American","VINOTAPA",11
"Tribeca, Soho ","American","BLACK TAP",11
"Tribeca, Soho ","Bakery","CHIU HONG BAKERY",11
"Tribeca, Soho ","American","HIDEAWAY",11
"Tribeca, Soho ","Chinese","HOP LEE RESTARANT",11
"Tribeca, Soho ","Asian","JAYA",11
"Tribeca, Soho ","Italian","LA BELLA VITA",11
"Tribeca, Soho ","American","MAPLE",11
"Tribeca, Soho ","Middle Eastern","NISH NUSH",11
"Tribeca, Soho ","Other","NYONYA",11
"Tribeca, Soho ","Vietnamese/Cambodian/Malaysia","SAIGON VIETNAMESE SANDWICH",11
"Tribeca, Soho ","Sandwiches","SIMIT AND SMITH",11
"Tribeca, Soho ","American","SMITH  MILLS",11
"Tribeca, Soho ","Vegetarian","WILD GINGER VEGETARIAN KITCHEN",11
"Upper East Side","American","3 GUYS RESTURANT",11
"Upper East Side","Sandwiches/Salads/Mixed Buffet","TARALLUCCI E VINO at COOPER HEWITT",11
"Upper East Side","Thai","THAIS NEW YORK",11
"Upper East Side ","Mediterranean","A LA TURKA",11
"Upper East Side ","American","ALEX CAFE  DELI",11
"Upper East Side ","Chinese","ASIAN 83",11
"Upper East Side ","French","BRASSERIE MAGRITTE",11
"Upper East Side ","American","ELI'S ESSENTIALS",11
"Upper East Side ","Bagels/Pretzels","H  H MIDTOWN BAGELS EAST",11
"Upper East Side ","Caf/Coffee/Tea","THE COFFEE BEAN  TEA LEAF",11
"Upper West Side","Mexican","AMIGOS",11
"Upper West Side","Other","BEER SHOP",11
"Upper West Side","Caf/Coffee/Tea","IRVING FARM",11
"Upper West Side","Pizza/Italian","LITTLE ITALY PIZZA",11
"Upper West Side","Chinese","NEW KAM LAI RESTAURANT",11
"Upper West Side","Thai","SENN THAI COMFORT FOOD",11
"Upper West Side","Thai","SOOKK THAI RESTAURANT",11
"Upper West Side","Mediterranean","THE TANGLED VINE",11
"Upper West Side ","Sandwiches/Salads/Mixed Buffet","EUROPAN CAFE",11
"Village NoHo ","American","AROMA ESPRESSO BAR",11
"Village NoHo ","American","COURT STREET GROCER'S LAGUARDIA PLACE",11
"Village NoHo ","Italian","IL MULINO",11
"Village NoHo ","Japanese","MIYABI SUSHI  ASIAN CUISINE",11
"Village NoHo ","American","PUBLIC RESTAURANT/THE DAILY",11
"Village NoHo ","American","THUNDER JACKSONS URBAN ROADHOUSE",11
"Washington Heights","Spanish","EL GRAN VALLE IV RESTAURANT",11
"Washington Heights","Pizza","FLACO'S PIZZERIA",11
"Washington Heights","Mexican","LA FIESTA RESTAURANT",11
"Washington Heights","Spanish","LA GUADALUPANA RESTAURANT",11
"Washington Heights ","Latin Cuban Dominican Puerto Rican South  Central American","809 GRILL  BAR RESTAURANT",11
"West Greenwich Village ","American","MUNCHERY",11
"West Greenwich Village ","Vegetarian","TAIM",11
"West Midtown ","Japanese","A1 OCHA SUSHI",11
